"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.126,0.0334,-0.194,-0.0615
"Africa","BDI",-0.0686,0.0404,-0.147,0.00844
"Africa","BEN",NA,NA,NA,NA
"Africa","CAF",-0.122,0.0725,-0.26,0.0134
"Africa","CIV",NA,NA,NA,NA
"Africa","CMR",-0.39,0.0499,-0.482,-0.29
"Africa","COD",-0.406,0.0293,-0.461,-0.349
"Africa","COG",-0.591,0.111,-0.804,-0.398
"Africa","COM",NA,NA,NA,NA
"Africa","ETH",-0.11,0.0344,-0.177,-0.0424
"Africa","GAB",-0.345,0.112,-0.54,-0.125
"Africa","GHA",-0.0372,0.0273,-0.0906,0.0153
"Africa","GIN",-0.0618,0.0336,-0.126,0.00686
"Africa","GMB",-0.436,0.0318,-0.5,-0.375
"Africa","GNB",-0.0593,0.0796,-0.233,0.0837
"Africa","GNQ",-1.37,0.0702,-1.51,-1.24
"Africa","KEN",-0.0101,0.0698,-0.158,0.107
"Africa","LBR",-0.305,0.045,-0.392,-0.22
"Africa","MDG",NA,NA,NA,NA
"Africa","MUS",-0.0756,0.0218,-0.117,-0.0341
"Africa","MWI",-0.421,0.0622,-0.545,-0.309
"Africa","MYT",NA,NA,NA,NA
"Africa","NGA",-0.213,0.062,-0.346,-0.0958
"Africa","REU",NA,NA,NA,NA
"Africa","RWA",-0.0319,0.0783,-0.18,0.121
"Africa","SEN",NA,NA,NA,NA
"Africa","SLE",-0.092,0.0286,-0.146,-0.0358
"Africa","SSD",NA,NA,NA,NA
"Africa","TGO",-0.199,0.0431,-0.287,-0.122
"Africa","TZA",-0.151,0.039,-0.224,-0.074
"Africa","UGA",-0.0128,0.0455,-0.101,0.0731
"Africa","ZMB",-0.11,0.0644,-0.229,0.0235
"America","ATG",NA,NA,NA,NA
"America","BHS",NA,NA,NA,NA
"America","BLZ",-0.254,0.0696,-0.387,-0.122
"America","BOL",-0.317,0.0437,-0.397,-0.227
"America","BRB",NA,NA,NA,NA
"America","COL",-0.596,0.0842,-0.739,-0.397
"America","CRI",-0.0632,0.0623,-0.182,0.0585
"America","CUB",-0.226,0.078,-0.376,-0.0563
"America","DMA",NA,NA,NA,NA
"America","DOM",-0.0222,0.0414,-0.105,0.0618
"America","ECU",-0.42,0.0952,-0.615,-0.235
"America","GLP",-0.315,0.0608,-0.442,-0.197
"America","GRD",-0.155,0.0753,-0.321,-0.0257
"America","GTM",-0.0993,0.0805,-0.243,0.0555
"America","GUF",-0.469,0.454,-1.28,0.247
"America","GUY",-0.29,0.237,-0.685,0.163
"America","HND",NA,NA,NA,NA
"America","HTI",-0.159,0.0288,-0.215,-0.103
"America","JAM",-0.0611,0.0336,-0.127,0.00771
"America","KNA",NA,NA,NA,NA
"America","LCA",-0.0931,0.051,-0.195,0.00743
"America","MAF",-0.0329,0.045,-0.125,0.0519
"America","MEX",-0.0589,0.0411,-0.132,0.0223
"America","MSR",NA,NA,NA,NA
"America","MTQ",-0.166,0.0361,-0.238,-0.0965
"America","NIC",-0.0287,0.0638,-0.152,0.0923
"America","PAN",-0.463,0.0703,-0.592,-0.327
"America","PER",-0.472,0.0555,-0.576,-0.372
"America","PRI",-0.0167,0.0243,-0.0628,0.0309
"America","PRY",-0.0603,0.0277,-0.115,-0.00494
"America","SLV",-0.108,0.0313,-0.169,-0.0488
"America","SUR",-0.25,0.256,-0.749,0.177
"America","SXM",-0.103,0.0697,-0.254,0.0185
"America","TTO",-0.0992,0.0398,-0.172,-0.0241
"America","VCT",NA,NA,NA,NA
"America","VEN",-0.183,0.126,-0.426,0.0193
"America","VGB",NA,NA,NA,NA
"America","VIR",-0.0829,0.0245,-0.13,-0.0372
"Asia","AUS-QLD",NA,NA,NA,NA
"Asia","BGD",-0.0473,0.0779,-0.174,0.12
"Asia","BRN",-0.642,0.251,-1.22,-0.211
"Asia","BTN",-0.0133,0.0361,-0.0783,0.0637
"Asia","FJI",NA,NA,NA,NA
"Asia","IDN",-0.407,0.0302,-0.46,-0.347
"Asia","IND-AND",-0.0738,0.071,-0.205,0.0561
"Asia","IND-WEST",-0.114,0.0368,-0.182,-0.0372
"Asia","IND-EAST",-0.173,0.0335,-0.234,-0.101
"Asia","KHM",-0.446,0.0656,-0.567,-0.315
"Asia","LAO",-0.172,0.0343,-0.239,-0.105
"Asia","LKA",-0.271,0.0415,-0.351,-0.181
"Asia","MMR",-0.143,0.0377,-0.22,-0.0732
"Asia","MYS",-0.328,0.0442,-0.407,-0.225
"Asia","NCL",-0.0235,0.0507,-0.129,0.0763
"Asia","PHL",-0.119,0.0328,-0.183,-0.0566
"Asia","PNG",-0.256,0.0619,-0.381,-0.151
"Asia","SGP",-0.606,0.0695,-0.762,-0.495
"Asia","SLB",-0.144,0.119,-0.414,0.0645
"Asia","THA",-0.0229,0.0469,-0.115,0.0692
"Asia","TLS",-0.0467,0.0332,-0.114,0.0167
"Asia","VNM",-0.166,0.0288,-0.221,-0.111
"Asia","VUT",NA,NA,NA,NA
"Brazil","BRA-AC",-0.456,0.149,-0.745,-0.188
"Brazil","BRA-AL",-0.138,0.0297,-0.194,-0.0752
"Brazil","BRA-AM",-0.549,0.127,-0.758,-0.312
"Brazil","BRA-AP",-0.0663,0.155,-0.364,0.23
"Brazil","BRA-BA",-0.0203,0.0252,-0.0711,0.0304
"Brazil","BRA-CE",NA,NA,NA,NA
"Brazil","BRA-ES",-0.0277,0.0263,-0.0782,0.0245
"Brazil","BRA-GO",NA,NA,NA,NA
"Brazil","BRA-MA",NA,NA,NA,NA
"Brazil","BRA-MG",0.000192,0.0263,-0.05,0.0517
"Brazil","BRA-MS",NA,NA,NA,NA
"Brazil","BRA-MT",-0.234,0.0573,-0.352,-0.129
"Brazil","BRA-PA",-0.475,0.0715,-0.62,-0.356
"Brazil","BRA-PB",NA,NA,NA,NA
"Brazil","BRA-PE",-0.112,0.0267,-0.163,-0.0585
"Brazil","BRA-PI",-0.0129,0.0353,-0.0791,0.0572
"Brazil","BRA-PR",NA,NA,NA,NA
"Brazil","BRA-RJ",-0.0408,0.0372,-0.114,0.0333
"Brazil","BRA-RN",-0.0488,0.0265,-0.103,-0.000573
"Brazil","BRA-RO",-0.278,0.0938,-0.435,-0.0756
"Brazil","BRA-RR",NA,NA,NA,NA
"Brazil","BRA-RS",NA,NA,NA,NA
"Brazil","BRA-SC",NA,NA,NA,NA
"Brazil","BRA-SE",NA,NA,NA,NA
"Brazil","BRA-SP",NA,NA,NA,NA
"Brazil","BRA-TO",NA,NA,NA,NA
