ZoneName,C,cont_run,iso3
Angola,39.32181935302941,Africa,AGO
Benin,0.5018994782647058,Africa,BEN
Burundi,0.37418733476470584,Africa,BDI
Cameroon,58.89454196841177,Africa,CMR
Comoros,0.18665299764705878,Africa,COM
Congo,33.18222840397059,Africa,COG
Ethiopia,50.76098648382352,Africa,ETH
Gabon,10.951261045941179,Africa,GAB
Gambia,0.2116408721470591,Africa,GMB
Ghana,63.75105306008826,Africa,GHA
Guinea,19.981868288911766,Africa,GIN
Kenya,8.825625630352937,Africa,KEN
Liberia,48.78809303452944,Africa,LBR
Madagascar,83.00655147961767,Africa,MDG
Malawi,2.504988982941164,Africa,MWI
Mauritius,0.20865619720588222,Africa,MUS
Mayotte,0.49917460517646906,Africa,MYT
Nigeria,53.55178475241173,Africa,NGA
Rwanda,1.3370718841764697,Africa,RWA
Senegal,0.3470731182352938,Africa,SEN
Sierra Leone,40.40612749932351,Africa,SLE
South Sudan,1.7260139930294116,Africa,SSD
Togo,1.731759395558824,Africa,TGO
Uganda,21.358002751411764,Africa,UGA
Zambia,2.3204463779999984,Africa,ZMB
Bahamas,0.39784164017647056,America,BHS
Barbados,0.0195735088235294,America,BRB
Belize,10.540349665676453,America,BLZ
Bolivia,149.4420336922941,America,BOL
Colombia,209.5609131703235,America,COL
Costa Rica,10.136679973676468,America,CRI
Cuba,6.328756419617632,America,CUB
Dominica,0.17916847305882344,America,DMA
Ecuador,43.38593061529411,America,ECU
El Salvador,0.9232742873823528,America,SLV
French Guiana,3.1320211657941175,America,GUF
Grenada,0.14690671738235295,America,GRD
Guadeloupe,0.1833912637058824,America,GLP
Guatemala,33.98996222911764,America,GTM
Guyana,11.745575539235295,America,GUY
Haiti,2.5643299963235298,America,HTI
Honduras,34.62842957832355,America,HND
Jamaica,1.795376648911764,America,JAM
Martinique,0.1802698618235295,America,MTQ
Mexico,66.51447903017649,America,MEX
Montserrat,0.0038323198235293817,America,MSR
Nicaragua,71.42506186614709,America,NIC
Panama,15.693044963735291,America,PAN
Paraguay,25.24569076720589,America,PRY
Peru,122.61335881385293,America,PER
Puerto Rico,2.5400125099411763,America,PRI
Saint Lucia,0.1456033832647059,America,LCA
Suriname,12.80505696414706,America,SUR
Trinidad and Tobago,1.657377762794116,America,TTO
Venezuela,98.69470380714705,America,VEN
Bangladesh,2.7754480230000005,Asia,BGD
Bhutan,5.321290699764706,Asia,BTN
Cambodia,133.76705048505883,Asia,KHM
Fiji,2.586119716500001,Asia,FJI
Indonesia,873.0105741614115,Asia,IDN
Malaysia,231.4095861547058,Asia,MYS
Myanmar,171.13749054432353,Asia,MMR
New Caledonia,1.3444462687058816,Asia,NCL
Papua New Guinea,47.8720691372647,Asia,PNG
Philippines,60.56663593923517,Asia,PHL
Singapore,0.05993956270588235,Asia,SGP
Sri Lanka,8.724136059264703,Asia,LKA
Thailand,43.62569852179413,Asia,THA
Timor-Leste,0.731483381117647,Asia,TLS
Vanuatu,0.5308936149705877,Asia,VUT
Anguilla,2.1073499999999998e-4,NA,NA
Antigua and Barbuda,0.01644879838235289,NA,ATG
Aruba,5.00175e-5,NA,NA
Arunachal Pradesh,8.439366284205885,NA,NA
Australia,6.96383520361764,NA,AUS-QLD
Brazil,1388.7907321768234,NA,BRA
British Virgin Islands,0.0364427662058823,NA,VGB
Brunei Darussalam,0.7367705735294118,NA,BRN
Burkina Faso,0.00282627538235291,NA,NA
Cayman Islands,0.04503814111764702,NA,NA
Central African Republic,37.68494818588236,NA,CAF
Chad,0.02558663585294115,NA,NA
Cote d'Ivoire,141.08684376291183,NA,CIV
Democratic Republic of the Congo,622.7592161914412,NA,COD
Dominican Republic,7.580183212499995,NA,DOM
Equatorial Guinea,2.830501409205881,NA,GNQ
Guinea-Bissau,1.7710960022647073,NA,GNB
Ilemi triangle,3.3345e-5,NA,NA
India,66.0046676589705,NA,NA
Lao People's Democratic Republic,132.75311831497058,NA,LAO
Mali,0.014714450117647,NA,NA
Mozambique,0.20112245911764698,NA,NA
Nepal,2.2401157905000004,NA,NA
Netherlands Antilles,0.01493255249999995,NA,NA
Reunion,0.503799231529412,NA,REU
Saint Kitts and Nevis,0.025127073352941138,NA,KNA
Saint Vincent and the Grenadines,0.08125617997058818,NA,VCT
Seychelles,6.039661764705882e-5,NA,NA
Solomon Islands,1.6605199548529408,NA,SLB
Somalia,0.0025807315588234903,NA,NA
Sudan,3.4935749999999996e-4,NA,SSD
Turks and Caicos islands,0.02405168567647054,NA,NA
United Republic of Tanzania,6.571321740352941,NA,TZA
United States Virgin Islands,0.07522928629411757,NA,VIR
Viet Nam,85.78507308811761,NA,VNM
